INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0301', 'Le Hai', 'F', TO_DATE('1981-05-09','YYYY-MM-DD'), '0388535001', 'Phuong 14, Quan 11, Da Nang', TO_DATE('2021-08-04','YYYY-MM-DD'), 28388681.80, 'Director', 'STORE2');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0312', 'Tran Minh', 'F', TO_DATE('1979-03-24','YYYY-MM-DD'), '0362798788', 'Phuong 17, Quan 5, Ho Chi Minh', TO_DATE('2020-08-24','YYYY-MM-DD'), 10376486.94, 'Staff', 'STORE2');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0313', 'Le Binh', 'F', TO_DATE('2001-10-11','YYYY-MM-DD'), '0909727691', 'Phuong 16, Quan 3, Da Lat', TO_DATE('2010-01-30','YYYY-MM-DD'), 25832337.62, 'Staff', 'STORE2');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0314', 'Vo Binh', 'F', TO_DATE('1974-11-29','YYYY-MM-DD'), '0335491909', 'Phuong 15, Quan 2, Hai Phong', TO_DATE('2021-10-10','YYYY-MM-DD'), 25992757.51, 'Staff', 'STORE2');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0315', 'Dang Trang', 'M', TO_DATE('1981-02-08','YYYY-MM-DD'), '0397507634', 'Phuong 16, Quan 4, Ha Noi', TO_DATE('2016-08-06','YYYY-MM-DD'), 6397329.32, 'Staff', 'STORE2');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0316', 'Vo Huy', 'M', TO_DATE('1973-06-14','YYYY-MM-DD'), '0340519634', 'Phuong 16, Quan 8, Nha Trang', TO_DATE('2012-10-17','YYYY-MM-DD'), 10764715.10, 'Staff', 'STORE2');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0317', 'Hoang Thao', 'F', TO_DATE('1970-11-26','YYYY-MM-DD'), '0913667018', 'Phuong 4, Quan 8, Da Lat', TO_DATE('2024-08-02','YYYY-MM-DD'), 19388907.90, 'Sales Associate', 'STORE2');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0318', 'Dang Phuc', 'M', TO_DATE('1971-02-12','YYYY-MM-DD'), '0914398713', 'Phuong 17, Quan 11, Da Nang', TO_DATE('2015-03-08','YYYY-MM-DD'), 19885915.00, 'Cashier', 'STORE2');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0319', 'Tran Ngoc', 'F', TO_DATE('2002-07-05','YYYY-MM-DD'), '0363506649', 'Phuong 20, Quan 2, Ho Chi Minh', TO_DATE('2023-11-28','YYYY-MM-DD'), 26910887.76, 'Staff', 'STORE2');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0320', 'Nguyen Giang', 'M', TO_DATE('1980-10-30','YYYY-MM-DD'), '0396263190', 'Phuong 12, Quan 6, Da Nang', TO_DATE('2019-06-23','YYYY-MM-DD'), 14808586.35, 'Staff', 'STORE2');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0321', 'Le Nga', 'F', TO_DATE('1976-01-19','YYYY-MM-DD'), '0327439244', 'Phuong 14, Quan 6, Da Lat', TO_DATE('2021-12-04','YYYY-MM-DD'), 11532916.31, 'Staff', 'STORE2');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0322', 'Hoang Ha', 'M', TO_DATE('1981-08-09','YYYY-MM-DD'), '0919890540', 'Phuong 10, Quan 2, Can Tho', TO_DATE('2010-04-16','YYYY-MM-DD'), 21871386.43, 'Staff', 'STORE2');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0323', 'Huynh Huy', 'M', TO_DATE('1979-04-06','YYYY-MM-DD'), '0323453805', 'Phuong 11, Quan 11, Ha Noi', TO_DATE('2010-02-24','YYYY-MM-DD'), 22546556.60, 'Staff', 'STORE2');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0324', 'Tran Dung', 'M', TO_DATE('1966-09-21','YYYY-MM-DD'), '0348469964', 'Phuong 17, Quan 4, Ho Chi Minh', TO_DATE('2011-08-10','YYYY-MM-DD'), 8514626.39, 'Accountant', 'STORE2');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0325', 'Dang Tu', 'M', TO_DATE('1994-06-11','YYYY-MM-DD'), '0330678761', 'Phuong 3, Quan 5, Ha Noi', TO_DATE('2023-05-06','YYYY-MM-DD'), 25756731.59, 'Staff', 'STORE2');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0326', 'Vu Hai', 'F', TO_DATE('1966-12-14','YYYY-MM-DD'), '0388038537', 'Phuong 9, Quan 8, Da Nang', TO_DATE('2010-06-02','YYYY-MM-DD'), 14512332.08, 'Staff', 'STORE2');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0327', 'Vo Huy', 'F', TO_DATE('1975-10-30','YYYY-MM-DD'), '0328477511', 'Phuong 2, Quan 11, Nha Trang', TO_DATE('2022-04-18','YYYY-MM-DD'), 26890537.54, 'Staff', 'STORE2');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0328', 'Vo Dung', 'M', TO_DATE('2000-08-24','YYYY-MM-DD'), '0908025758', 'Phuong 1, Quan 7, Hai Phong', TO_DATE('2015-04-23','YYYY-MM-DD'), 11271472.88, 'Staff', 'STORE2');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0329', 'Dang Hai', 'M', TO_DATE('1968-11-28','YYYY-MM-DD'), '0351287536', 'Phuong 3, Quan 1, Da Nang', TO_DATE('2010-01-17','YYYY-MM-DD'), 9405823.19, 'Staff', 'STORE2');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0330', 'Phan Thao', 'M', TO_DATE('1990-01-10','YYYY-MM-DD'), '0371466450', 'Phuong 16, Quan 11, Ha Noi', TO_DATE('2011-04-28','YYYY-MM-DD'), 9499994.13, 'Staff', 'STORE2');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0331', 'Pham Linh', 'F', TO_DATE('1991-12-09','YYYY-MM-DD'), '0352057022', 'Phuong 3, Quan 8, Nha Trang', TO_DATE('2021-03-16','YYYY-MM-DD'), 29762046.03, 'Staff', 'STORE2');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0332', 'Dang Dung', 'M', TO_DATE('1998-03-19','YYYY-MM-DD'), '0323857298', 'Phuong 19, Quan 3, Da Nang', TO_DATE('2022-01-26','YYYY-MM-DD'), 22943146.78, 'Staff', 'STORE2');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0333', 'Tran Tuan', 'M', TO_DATE('1993-09-21','YYYY-MM-DD'), '0395621396', 'Phuong 11, Quan 3, Ha Noi', TO_DATE('2016-07-15','YYYY-MM-DD'), 17150428.28, 'Staff', 'STORE2');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0334', 'Le Dung', 'M', TO_DATE('1966-06-02','YYYY-MM-DD'), '0919913748', 'Phuong 15, Quan 6, Hai Phong', TO_DATE('2022-12-28','YYYY-MM-DD'), 21604296.06, 'Accountant', 'STORE2');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0335', 'Vu Minh', 'F', TO_DATE('1979-07-26','YYYY-MM-DD'), '0396214912', 'Phuong 11, Quan 9, Nha Trang', TO_DATE('2016-01-13','YYYY-MM-DD'), 26450342.82, 'Staff', 'STORE2');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0336', 'Huynh Binh', 'M', TO_DATE('1969-08-20','YYYY-MM-DD'), '0916286757', 'Phuong 5, Quan 12, Da Lat', TO_DATE('2018-11-09','YYYY-MM-DD'), 19269447.00, 'Staff', 'STORE2');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0337', 'Phan Tuan', 'M', TO_DATE('1995-08-07','YYYY-MM-DD'), '0332483998', 'Phuong 15, Quan 5, Nha Trang', TO_DATE('2010-08-25','YYYY-MM-DD'), 14223134.29, 'Staff', 'STORE2');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0338', 'Tran Quynh', 'F', TO_DATE('1997-09-04','YYYY-MM-DD'), '0910427454', 'Phuong 19, Quan 6, Nha Trang', TO_DATE('2024-05-18','YYYY-MM-DD'), 9820105.40, 'Staff', 'STORE2');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0339', 'Phan Binh', 'F', TO_DATE('1973-12-01','YYYY-MM-DD'), '0908078235', 'Phuong 11, Quan 12, Nha Trang', TO_DATE('2022-04-03','YYYY-MM-DD'), 18757562.57, 'Staff', 'STORE2');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0340', 'Vu Binh', 'M', TO_DATE('1968-06-26','YYYY-MM-DD'), '0394438150', 'Phuong 7, Quan 6, Ho Chi Minh', TO_DATE('2024-02-29','YYYY-MM-DD'), 14709592.80, 'Staff', 'STORE2');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0341', 'Dang Tuan', 'M', TO_DATE('1985-05-26','YYYY-MM-DD'), '0339802765', 'Phuong 4, Quan 10, Nha Trang', TO_DATE('2018-06-14','YYYY-MM-DD'), 21602072.73, 'Staff', 'STORE2');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0342', 'Pham Vy', 'M', TO_DATE('1991-06-03','YYYY-MM-DD'), '0904683388', 'Phuong 5, Quan 11, Ha Noi', TO_DATE('2021-01-08','YYYY-MM-DD'), 22138696.46, 'Staff', 'STORE2');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0343', 'Nguyen Quynh', 'M', TO_DATE('1986-09-30','YYYY-MM-DD'), '0348359981', 'Phuong 11, Quan 5, Nha Trang', TO_DATE('2011-10-09','YYYY-MM-DD'), 17894531.35, 'Staff', 'STORE2');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0344', 'Huynh Tuan', 'F', TO_DATE('1997-08-23','YYYY-MM-DD'), '0386334312', 'Phuong 5, Quan 9, Can Tho', TO_DATE('2016-12-17','YYYY-MM-DD'), 16593107.91, 'Staff', 'STORE2');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0345', 'Phan Ngoc', 'F', TO_DATE('1972-05-29','YYYY-MM-DD'), '0399483864', 'Phuong 14, Quan 7, Ho Chi Minh', TO_DATE('2015-10-26','YYYY-MM-DD'), 20400242.80, 'Staff', 'STORE2');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0346', 'Dang Ha', 'F', TO_DATE('1984-06-22','YYYY-MM-DD'), '0374149539', 'Phuong 10, Quan 5, Da Lat', TO_DATE('2021-01-05','YYYY-MM-DD'), 14271998.65, 'Staff', 'STORE2');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0347', 'Vo Ngoc', 'F', TO_DATE('1986-10-06','YYYY-MM-DD'), '0350317548', 'Phuong 19, Quan 11, Da Nang', TO_DATE('2010-04-30','YYYY-MM-DD'), 22417948.13, 'Staff', 'STORE2');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0348', 'Pham Tu', 'M', TO_DATE('1978-02-11','YYYY-MM-DD'), '0368834305', 'Phuong 4, Quan 4, Ho Chi Minh', TO_DATE('2010-02-17','YYYY-MM-DD'), 16946823.45, 'Staff', 'STORE2');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0349', 'Tran Khanh', 'F', TO_DATE('1972-09-10','YYYY-MM-DD'), '0344329856', 'Phuong 15, Quan 1, Ha Noi', TO_DATE('2010-08-04','YYYY-MM-DD'), 6314060.20, 'Staff', 'STORE2');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0350', 'Dang Chau', 'F', TO_DATE('1966-11-29','YYYY-MM-DD'), '0399759332', 'Phuong 12, Quan 2, Da Nang', TO_DATE('2019-11-01','YYYY-MM-DD'), 7083969.31, 'Cashier', 'STORE2');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0351', 'Huynh Minh', 'F', TO_DATE('1968-03-08','YYYY-MM-DD'), '0914189583', 'Phuong 17, Quan 3, Da Nang', TO_DATE('2013-06-14','YYYY-MM-DD'), 28801128.77, 'Cleaner', 'STORE2');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0352', 'Vo Nga', 'M', TO_DATE('1990-05-28','YYYY-MM-DD'), '0366841954', 'Phuong 2, Quan 7, Hai Phong', TO_DATE('2010-02-12','YYYY-MM-DD'), 13702652.07, 'Staff', 'STORE2');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0353', 'Phan Vy', 'F', TO_DATE('1995-03-29','YYYY-MM-DD'), '0325070703', 'Phuong 3, Quan 3, Hai Phong', TO_DATE('2024-11-01','YYYY-MM-DD'), 22061574.81, 'Staff', 'STORE2');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0354', 'Nguyen Minh', 'M', TO_DATE('2001-03-25','YYYY-MM-DD'), '0323308349', 'Phuong 10, Quan 8, Hai Phong', TO_DATE('2012-09-21','YYYY-MM-DD'), 15200562.94, 'Staff', 'STORE2');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0355', 'Phan Huy', 'M', TO_DATE('1985-11-09','YYYY-MM-DD'), '0361644431', 'Phuong 7, Quan 9, Ha Noi', TO_DATE('2024-01-10','YYYY-MM-DD'), 14633338.40, 'Staff', 'STORE2');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0356', 'Huynh Trang', 'M', TO_DATE('1969-07-18','YYYY-MM-DD'), '0913599939', 'Phuong 17, Quan 2, Da Nang', TO_DATE('2019-12-25','YYYY-MM-DD'), 13716296.19, 'Staff', 'STORE2');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0357', 'Huynh Vy', 'M', TO_DATE('1968-04-08','YYYY-MM-DD'), '0371470063', 'Phuong 2, Quan 6, Da Nang', TO_DATE('2014-03-09','YYYY-MM-DD'), 17513144.18, 'Staff', 'STORE2');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0358', 'Vu Dung', 'M', TO_DATE('1983-08-03','YYYY-MM-DD'), '0356868313', 'Phuong 17, Quan 3, Hai Phong', TO_DATE('2021-11-14','YYYY-MM-DD'), 19980732.47, 'Staff', 'STORE2');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0359', 'Le Trang', 'F', TO_DATE('1980-12-10','YYYY-MM-DD'), '0359052861', 'Phuong 3, Quan 3, Ha Noi', TO_DATE('2010-04-20','YYYY-MM-DD'), 13345888.03, 'Staff', 'STORE2');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0360', 'Nguyen Chau', 'F', TO_DATE('1989-06-15','YYYY-MM-DD'), '0366788105', 'Phuong 9, Quan 7, Da Lat', TO_DATE('2014-11-17','YYYY-MM-DD'), 8503753.68, 'Staff', 'STORE2');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0361', 'Huynh Huy', 'M', TO_DATE('1967-03-03','YYYY-MM-DD'), '0323125971', 'Phuong 7, Quan 1, Nha Trang', TO_DATE('2021-02-26','YYYY-MM-DD'), 20485781.63, 'Staff', 'STORE2');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0362', 'Phan Linh', 'F', TO_DATE('1981-03-10','YYYY-MM-DD'), '0918551555', 'Phuong 11, Quan 12, Nha Trang', TO_DATE('2018-12-13','YYYY-MM-DD'), 8484665.89, 'Staff', 'STORE2');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0363', 'Pham Ha', 'F', TO_DATE('1998-02-25','YYYY-MM-DD'), '0395133182', 'Phuong 13, Quan 4, Nha Trang', TO_DATE('2018-10-19','YYYY-MM-DD'), 7650263.35, 'Staff', 'STORE2');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0364', 'Phan Khanh', 'M', TO_DATE('1970-07-13','YYYY-MM-DD'), '0918760542', 'Phuong 18, Quan 12, Nha Trang', TO_DATE('2021-06-02','YYYY-MM-DD'), 16773322.22, 'Staff', 'STORE2');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0365', 'Tran Dung', 'M', TO_DATE('1970-04-12','YYYY-MM-DD'), '0388879477', 'Phuong 14, Quan 5, Hai Phong', TO_DATE('2011-01-10','YYYY-MM-DD'), 9830327.61, 'Staff', 'STORE2');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0366', 'Dang Chau', 'F', TO_DATE('1997-01-29','YYYY-MM-DD'), '0332818463', 'Phuong 4, Quan 12, Ho Chi Minh', TO_DATE('2021-04-25','YYYY-MM-DD'), 22516085.11, 'Staff', 'STORE2');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0367', 'Pham Minh', 'M', TO_DATE('1973-03-26','YYYY-MM-DD'), '0394113668', 'Phuong 1, Quan 3, Ho Chi Minh', TO_DATE('2016-04-19','YYYY-MM-DD'), 10683008.44, 'Staff', 'STORE2');
