INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0601', 'Hoang Tuan', 'M', TO_DATE('1969-11-10','YYYY-MM-DD'), '0385331868', 'Phuong 10, Quan 7, Hai Phong', TO_DATE('2020-06-14','YYYY-MM-DD'), 24832671.12, 'Director', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0612', 'Pham Ngoc', 'M', TO_DATE('1973-10-26','YYYY-MM-DD'), '0918133166', 'Phuong 17, Quan 1, Ho Chi Minh', TO_DATE('2017-04-04','YYYY-MM-DD'), 14930369.12, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0613', 'Phan Hai', 'M', TO_DATE('1968-03-21','YYYY-MM-DD'), '0351646996', 'Phuong 14, Quan 2, Ho Chi Minh', TO_DATE('2013-06-04','YYYY-MM-DD'), 9051245.74, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0614', 'Vu Binh', 'F', TO_DATE('1982-10-09','YYYY-MM-DD'), '0335763068', 'Phuong 15, Quan 1, Can Tho', TO_DATE('2012-08-16','YYYY-MM-DD'), 8760578.84, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0615', 'Vo Minh', 'F', TO_DATE('2000-08-31','YYYY-MM-DD'), '0395448579', 'Phuong 14, Quan 12, Da Lat', TO_DATE('2020-07-21','YYYY-MM-DD'), 5622171.48, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0616', 'Hoang Vy', 'F', TO_DATE('1969-04-19','YYYY-MM-DD'), '0912337429', 'Phuong 16, Quan 6, Ho Chi Minh', TO_DATE('2016-09-12','YYYY-MM-DD'), 15711356.22, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0617', 'Vu Tu', 'M', TO_DATE('1966-09-29','YYYY-MM-DD'), '0382385338', 'Phuong 11, Quan 12, Ho Chi Minh', TO_DATE('2022-09-15','YYYY-MM-DD'), 9674268.78, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0618', 'Nguyen Tuan', 'F', TO_DATE('2002-03-22','YYYY-MM-DD'), '0322433065', 'Phuong 2, Quan 3, Ha Noi', TO_DATE('2017-06-10','YYYY-MM-DD'), 29760444.86, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0619', 'Tran Binh', 'F', TO_DATE('1969-01-25','YYYY-MM-DD'), '0382036640', 'Phuong 17, Quan 8, Da Nang', TO_DATE('2019-05-12','YYYY-MM-DD'), 6215799.12, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0620', 'Tran Trang', 'F', TO_DATE('1994-11-25','YYYY-MM-DD'), '0382704772', 'Phuong 19, Quan 10, Ha Noi', TO_DATE('2014-10-09','YYYY-MM-DD'), 10400783.07, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0621', 'Vo Phuc', 'F', TO_DATE('1984-01-18','YYYY-MM-DD'), '0903899263', 'Phuong 11, Quan 12, Ha Noi', TO_DATE('2024-06-10','YYYY-MM-DD'), 26764870.46, 'Cashier', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0622', 'Vu Binh', 'F', TO_DATE('1994-04-22','YYYY-MM-DD'), '0911133298', 'Phuong 11, Quan 9, Hai Phong', TO_DATE('2015-08-16','YYYY-MM-DD'), 12811889.12, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0623', 'Huynh Quynh', 'M', TO_DATE('1979-07-10','YYYY-MM-DD'), '0386454232', 'Phuong 17, Quan 10, Can Tho', TO_DATE('2022-02-12','YYYY-MM-DD'), 7830877.63, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0624', 'Huynh Ha', 'F', TO_DATE('1966-08-02','YYYY-MM-DD'), '0901311310', 'Phuong 10, Quan 11, Da Nang', TO_DATE('2024-08-08','YYYY-MM-DD'), 27007970.73, 'Cashier', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0625', 'Huynh Tuan', 'M', TO_DATE('2002-07-18','YYYY-MM-DD'), '0914154401', 'Phuong 17, Quan 10, Can Tho', TO_DATE('2014-11-28','YYYY-MM-DD'), 29115621.42, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0626', 'Pham Ha', 'M', TO_DATE('1995-07-01','YYYY-MM-DD'), '0905798100', 'Phuong 7, Quan 8, Nha Trang', TO_DATE('2020-10-07','YYYY-MM-DD'), 9306124.99, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0627', 'Pham Quynh', 'F', TO_DATE('1992-06-30','YYYY-MM-DD'), '0367391913', 'Phuong 3, Quan 3, Hai Phong', TO_DATE('2015-12-30','YYYY-MM-DD'), 14019265.79, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0628', 'Vu Anh', 'F', TO_DATE('2001-09-04','YYYY-MM-DD'), '0372235837', 'Phuong 20, Quan 1, Da Nang', TO_DATE('2017-12-15','YYYY-MM-DD'), 20061080.89, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0629', 'Huynh Minh', 'M', TO_DATE('1987-09-29','YYYY-MM-DD'), '0333197333', 'Phuong 19, Quan 7, Da Nang', TO_DATE('2022-03-22','YYYY-MM-DD'), 21528651.99, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0630', 'Le Phuc', 'F', TO_DATE('1982-01-26','YYYY-MM-DD'), '0333770996', 'Phuong 18, Quan 4, Can Tho', TO_DATE('2022-08-11','YYYY-MM-DD'), 9795501.00, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0631', 'Vo Phuc', 'M', TO_DATE('1991-10-09','YYYY-MM-DD'), '0348129952', 'Phuong 20, Quan 1, Ho Chi Minh', TO_DATE('2014-01-11','YYYY-MM-DD'), 7619012.68, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0632', 'Pham Vy', 'M', TO_DATE('1980-12-22','YYYY-MM-DD'), '0349650992', 'Phuong 12, Quan 4, Can Tho', TO_DATE('2014-07-07','YYYY-MM-DD'), 29111931.93, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0633', 'Huynh Linh', 'F', TO_DATE('2003-02-20','YYYY-MM-DD'), '0357715851', 'Phuong 8, Quan 1, Ha Noi', TO_DATE('2016-11-12','YYYY-MM-DD'), 10501803.87, 'HR', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0634', 'Vu Vy', 'F', TO_DATE('1985-10-30','YYYY-MM-DD'), '0330693996', 'Phuong 19, Quan 8, Da Nang', TO_DATE('2023-03-12','YYYY-MM-DD'), 18999605.51, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0635', 'Le Linh', 'M', TO_DATE('1996-03-10','YYYY-MM-DD'), '0906689082', 'Phuong 4, Quan 10, Ho Chi Minh', TO_DATE('2018-10-13','YYYY-MM-DD'), 13676334.16, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0636', 'Vu Binh', 'F', TO_DATE('2001-11-28','YYYY-MM-DD'), '0338598075', 'Phuong 10, Quan 8, Hai Phong', TO_DATE('2022-06-06','YYYY-MM-DD'), 17352412.99, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0637', 'Nguyen Linh', 'M', TO_DATE('1967-01-24','YYYY-MM-DD'), '0330405588', 'Phuong 16, Quan 6, Nha Trang', TO_DATE('2015-02-10','YYYY-MM-DD'), 16841401.26, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0638', 'Tran Binh', 'F', TO_DATE('1978-08-25','YYYY-MM-DD'), '0354316164', 'Phuong 16, Quan 8, Ha Noi', TO_DATE('2013-02-06','YYYY-MM-DD'), 29369955.70, 'Cashier', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0639', 'Vo Khanh', 'M', TO_DATE('1965-12-30','YYYY-MM-DD'), '0902771486', 'Phuong 5, Quan 2, Ho Chi Minh', TO_DATE('2021-01-26','YYYY-MM-DD'), 21921708.60, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0640', 'Hoang Chau', 'M', TO_DATE('2001-06-30','YYYY-MM-DD'), '0331575913', 'Phuong 20, Quan 10, Ha Noi', TO_DATE('2013-10-05','YYYY-MM-DD'), 18258381.39, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0641', 'Vu Hai', 'F', TO_DATE('1981-07-24','YYYY-MM-DD'), '0382114774', 'Phuong 15, Quan 8, Ha Noi', TO_DATE('2021-07-19','YYYY-MM-DD'), 17212736.90, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0642', 'Tran Tuan', 'F', TO_DATE('1999-08-21','YYYY-MM-DD'), '0913790327', 'Phuong 8, Quan 5, Ha Noi', TO_DATE('2012-01-17','YYYY-MM-DD'), 14506668.30, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0643', 'Le Binh', 'M', TO_DATE('1991-07-21','YYYY-MM-DD'), '0344381236', 'Phuong 19, Quan 4, Ho Chi Minh', TO_DATE('2015-05-02','YYYY-MM-DD'), 7835388.64, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0644', 'Hoang Phuc', 'M', TO_DATE('1976-02-12','YYYY-MM-DD'), '0326389514', 'Phuong 8, Quan 8, Nha Trang', TO_DATE('2024-02-16','YYYY-MM-DD'), 11399886.31, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0645', 'Nguyen Thao', 'F', TO_DATE('1999-11-19','YYYY-MM-DD'), '0334239079', 'Phuong 19, Quan 4, Da Lat', TO_DATE('2021-05-16','YYYY-MM-DD'), 25896113.89, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0646', 'Vo Ha', 'M', TO_DATE('1987-02-03','YYYY-MM-DD'), '0908363948', 'Phuong 16, Quan 6, Nha Trang', TO_DATE('2014-03-01','YYYY-MM-DD'), 27155252.40, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0647', 'Dang Quynh', 'F', TO_DATE('1982-06-22','YYYY-MM-DD'), '0380338841', 'Phuong 6, Quan 3, Da Lat', TO_DATE('2014-04-02','YYYY-MM-DD'), 16138410.80, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0648', 'Nguyen Ha', 'M', TO_DATE('1971-12-03','YYYY-MM-DD'), '0393405834', 'Phuong 4, Quan 6, Hai Phong', TO_DATE('2019-04-30','YYYY-MM-DD'), 5103114.93, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0649', 'Hoang Chau', 'F', TO_DATE('1966-05-30','YYYY-MM-DD'), '0374438186', 'Phuong 12, Quan 1, Hai Phong', TO_DATE('2021-06-27','YYYY-MM-DD'), 22652863.85, 'Cashier', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0650', 'Nguyen Huy', 'F', TO_DATE('1984-07-31','YYYY-MM-DD'), '0379028988', 'Phuong 5, Quan 1, Ha Noi', TO_DATE('2015-04-23','YYYY-MM-DD'), 20687781.26, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0651', 'Phan Ha', 'M', TO_DATE('1996-12-21','YYYY-MM-DD'), '0323375697', 'Phuong 8, Quan 10, Hai Phong', TO_DATE('2024-06-13','YYYY-MM-DD'), 27398250.26, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0652', 'Tran Phuc', 'M', TO_DATE('2000-11-09','YYYY-MM-DD'), '0378598184', 'Phuong 18, Quan 7, Nha Trang', TO_DATE('2012-02-16','YYYY-MM-DD'), 23122857.50, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0653', 'Tran Huy', 'M', TO_DATE('1965-05-19','YYYY-MM-DD'), '0906387013', 'Phuong 4, Quan 8, Can Tho', TO_DATE('2016-09-12','YYYY-MM-DD'), 6751363.58, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0654', 'Huynh Hai', 'F', TO_DATE('1977-08-24','YYYY-MM-DD'), '0914766656', 'Phuong 17, Quan 8, Da Lat', TO_DATE('2020-04-11','YYYY-MM-DD'), 10036854.11, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0655', 'Huynh Phuc', 'F', TO_DATE('1968-09-18','YYYY-MM-DD'), '0918592350', 'Phuong 14, Quan 4, Da Lat', TO_DATE('2020-01-29','YYYY-MM-DD'), 6848561.27, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0656', 'Le Vy', 'M', TO_DATE('1981-11-26','YYYY-MM-DD'), '0334956219', 'Phuong 3, Quan 7, Nha Trang', TO_DATE('2020-11-12','YYYY-MM-DD'), 10283196.36, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0657', 'Nguyen Tuan', 'F', TO_DATE('1993-12-30','YYYY-MM-DD'), '0343118662', 'Phuong 14, Quan 1, Can Tho', TO_DATE('2010-12-15','YYYY-MM-DD'), 19923357.68, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0658', 'Hoang Ha', 'F', TO_DATE('1988-10-24','YYYY-MM-DD'), '0380608411', 'Phuong 3, Quan 4, Ha Noi', TO_DATE('2014-06-06','YYYY-MM-DD'), 24296677.21, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0659', 'Dang Quynh', 'F', TO_DATE('1970-06-28','YYYY-MM-DD'), '0373896007', 'Phuong 2, Quan 10, Da Nang', TO_DATE('2024-12-14','YYYY-MM-DD'), 19603262.33, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0660', 'Le Chau', 'F', TO_DATE('1997-02-19','YYYY-MM-DD'), '0371279885', 'Phuong 17, Quan 3, Da Lat', TO_DATE('2013-04-02','YYYY-MM-DD'), 16678762.44, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0661', 'Vo Quynh', 'M', TO_DATE('1977-06-28','YYYY-MM-DD'), '0334907744', 'Phuong 6, Quan 5, Hai Phong', TO_DATE('2022-05-11','YYYY-MM-DD'), 28387087.57, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0662', 'Le Minh', 'M', TO_DATE('1997-09-03','YYYY-MM-DD'), '0907178989', 'Phuong 4, Quan 12, Da Nang', TO_DATE('2022-10-23','YYYY-MM-DD'), 7762953.27, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0663', 'Phan Chau', 'F', TO_DATE('1986-06-08','YYYY-MM-DD'), '0338106854', 'Phuong 17, Quan 12, Can Tho', TO_DATE('2014-11-29','YYYY-MM-DD'), 18025277.01, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0664', 'Dang Chau', 'M', TO_DATE('1970-01-01','YYYY-MM-DD'), '0358721098', 'Phuong 6, Quan 9, Hai Phong', TO_DATE('2021-10-19','YYYY-MM-DD'), 28392199.05, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0665', 'Dang Thao', 'F', TO_DATE('1966-07-20','YYYY-MM-DD'), '0918144601', 'Phuong 19, Quan 9, Ha Noi', TO_DATE('2012-03-30','YYYY-MM-DD'), 10414579.25, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0666', 'Dang Hai', 'F', TO_DATE('1999-07-10','YYYY-MM-DD'), '0356833109', 'Phuong 20, Quan 9, Nha Trang', TO_DATE('2016-04-10','YYYY-MM-DD'), 13284346.74, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0667', 'Vo Tuan', 'F', TO_DATE('2003-09-22','YYYY-MM-DD'), '0359526602', 'Phuong 4, Quan 12, Da Lat', TO_DATE('2022-10-15','YYYY-MM-DD'), 7153213.99, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0668', 'Nguyen Minh', 'M', TO_DATE('1983-07-02','YYYY-MM-DD'), '0344779279', 'Phuong 13, Quan 9, Da Nang', TO_DATE('2020-09-19','YYYY-MM-DD'), 25773056.36, 'Staff', 'store3');
